City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Narsaq,60.9167,-46.05,39.2,28,75,37.98,GL,1612823176
Guerrero Negro,27.9769,-114.0611,68.68,42,48,12.77,MX,1612823177
Prado,-17.3411,-39.2208,72.21,97,100,3.51,BR,1612823179
Cap Malheureux,-19.9842,57.6142,75.99,84,3,1.99,MU,1612823180
Clyde River,70.4692,-68.5914,8.6,85,20,26.46,CA,1612823181
Pimenta Bueno,-11.6725,-61.1936,79.99,89,93,1.48,BR,1612823183
Arraial do Cabo,-22.9661,-42.0278,73.4,94,75,6.15,BR,1612823184
Lorengau,-2.0226,147.2712,83.97,74,30,7.67,PG,1612823185
Nome,64.5011,-165.4064,8.6,52,90,6.91,US,1612823186
Pevek,69.7008,170.3133,-12.28,82,100,0.49,RU,1612823188
Punta Arenas,-53.15,-70.9167,66.2,55,0,11.5,CL,1612823114
Geraldton,-28.7667,114.6,62.6,88,40,8.9,AU,1612823190
Zhigansk,66.7697,123.3711,-28.48,80,0,7.74,RU,1612823191
Bengkulu,-3.8004,102.2655,75.36,77,100,5.59,ID,1612823192
Gamba,-2.65,10.0,79.12,88,99,5.68,GA,1612823193
Cape Town,-33.9258,18.4232,70.0,83,20,20.71,ZA,1612823160
Bokoro,12.3807,17.0568,73.6,18,29,8.75,TD,1612823196
Belmonte,-15.8631,-38.8828,73.4,88,75,3.44,BR,1612823197
Auki,-8.7676,160.7034,81.12,83,99,10.09,SB,1612823198
Vaini,-21.2,-175.2,80.6,94,90,12.66,TO,1612823199
Cherskiy,68.75,161.3,5.38,76,100,6.67,RU,1612823200
Hobart,-42.8794,147.3294,57.0,54,75,11.5,AU,1612823201
Port Shepstone,-30.7414,30.455,71.85,88,100,4.09,ZA,1612823203
Harper,4.375,-7.7169,78.67,84,100,3.31,LR,1612823204
Saurimo,-9.6608,20.3916,65.75,97,100,3.62,AO,1612823205
Cidreira,-30.1811,-50.2056,73.56,74,0,12.26,BR,1612823206
Killybegs,54.6333,-8.45,32.09,91,0,17.94,IE,1612823208
Taltal,-25.4,-70.4833,68.97,67,26,7.65,CL,1612823209
Carnarvon,-24.8667,113.6333,73.4,100,0,12.66,AU,1612823210
Deputatsky,69.3,139.9,-22.07,88,18,3.2,RU,1612823211
Grand Gaube,-20.0064,57.6608,75.99,84,14,1.99,MU,1612823212
Nikolskoye,59.7035,30.7861,6.01,84,0,2.24,RU,1612823214
Araouane,18.9048,-3.5265,65.71,22,83,9.15,ML,1612823216
Tiksi,71.6872,128.8694,-26.95,86,100,4.74,RU,1612823217
Bluff,-46.6,168.3333,56.39,94,100,10.74,NZ,1612823218
Lingao,19.9103,109.6859,67.14,92,100,15.66,CN,1612823220
Montepuez,-13.1256,38.9997,70.88,99,100,3.76,MZ,1612823221
Alekseyevka,50.6309,38.6903,12.88,82,100,15.1,RU,1612823222
Tilichiki,60.4667,166.1,19.17,98,90,9.53,RU,1612823223
Menongue,-14.6585,17.691,66.24,85,100,3.02,AO,1612823224
Lagoa,39.05,-27.9833,59.41,75,100,25.88,PT,1612823225
Avarua,-21.2078,-159.775,84.2,79,27,8.05,CK,1612823227
Pandan,14.0453,124.1694,77.54,88,100,18.88,PH,1612823228
Butaritari,3.0707,172.7902,81.81,83,80,20.18,KI,1612823229
Thompson,55.7435,-97.8558,-14.8,70,90,12.66,CA,1612823230
Atuona,-9.8,-139.0333,79.7,76,89,20.62,PF,1612823231
Yellowknife,62.456,-114.3525,-27.4,68,90,19.57,CA,1612823233
Lavrentiya,65.5833,-171.0,-3.69,83,100,10.22,RU,1612823234
Dobrić,44.7019,19.5814,44.01,87,34,9.1,RS,1612823235
Sandwick,60.0,-1.25,33.66,83,75,10.87,GB,1612823237
Alexandria,31.2156,29.9553,59.0,88,0,8.05,EG,1612823238
São Filipe,14.8961,-24.4956,70.11,77,100,12.39,CV,1612823239
Chicama,-7.8447,-79.1469,69.8,88,91,9.22,PE,1612823241
Half Moon Bay,37.4636,-122.4286,59.0,67,75,3.44,US,1612823242
Hong Kong,22.2855,114.1577,64.99,77,100,1.01,HK,1612823243
Esim,4.8699,-2.2405,80.2,85,24,8.63,GH,1612823244
Hambantota,6.1241,81.1185,76.84,74,90,18.95,LK,1612823245
Maceió,-9.6658,-35.7353,77.0,83,0,5.75,BR,1612823059
Kapuskasing,49.4169,-82.4331,1.4,60,83,8.05,CA,1612823248
Aswān,24.0934,32.907,60.96,52,0,6.89,EG,1612823168
Vallenar,-28.5708,-70.7581,81.61,23,0,7.18,CL,1612823251
Severo-Kuril'sk,50.6789,156.125,18.68,86,15,4.65,RU,1612823252
Mosquera,4.7059,-74.2302,62.6,72,40,3.44,CO,1612823253
Randazzo,37.8774,14.9501,55.0,75,65,1.01,IT,1612823255
Quatre Cocos,-20.2078,57.7625,78.8,83,40,4.61,MU,1612823256
Mount Gambier,-37.8333,140.7667,57.2,77,0,13.8,AU,1612823257
San Cristobal,7.7669,-72.225,87.8,48,40,10.36,VE,1612823260
Florø,61.5996,5.0328,26.6,50,0,14.97,NO,1612823261
Puerto Ayora,-0.7393,-90.3518,80.6,83,75,10.36,EC,1612823263
Rūdbār,30.15,62.6,58.26,37,0,11.3,AF,1612823264
Assiniboia,49.6334,-105.9845,-13.0,58,2,18.41,CA,1612823266
São João da Barra,-21.6403,-41.0511,73.4,88,0,9.22,BR,1612823267
Soledade,-28.8183,-52.5103,68.22,82,4,3.31,BR,1612823269
Hithadhoo,-0.6,73.0833,82.29,78,85,10.98,MV,1612823270
Airai,-8.9266,125.4092,60.96,100,100,2.98,TL,1612823271
Kruisfontein,-34.0033,24.7314,63.0,86,10,1.01,ZA,1612823272
Ahipara,-35.1667,173.1667,70.59,73,100,10.83,NZ,1612823273
Bethel,41.3712,-73.414,24.8,39,1,3.44,US,1612823276
Kuytun,54.3419,101.5036,17.44,94,100,15.68,RU,1612823277
Olafsvik,64.8945,-23.7142,34.75,84,96,14.56,IS,1612823278
Ciudad Bolivar,8.1222,-63.5497,85.3,57,79,16.35,VE,1612823279
Marsh Harbour,26.5412,-77.0636,76.28,81,9,9.84,BS,1612823280
Orito,0.6766,-76.8771,77.0,100,75,2.3,CO,1612823283
Khatanga,71.9667,102.5,-19.23,83,7,12.28,RU,1612823050
Saint-François,46.4154,3.9054,33.8,93,90,5.75,FR,1612823285
Mitú,1.1983,-70.1733,78.3,94,93,3.78,CO,1612823286
Koubia,11.5833,-11.9,71.15,28,0,0.89,GN,1612823287
Comodoro Rivadavia,-45.8667,-67.5,73.4,49,0,11.5,AR,1612823288
Arrecife,28.963,-13.5477,62.6,77,20,4.61,ES,1612823290
Syamzha,60.0158,41.0614,-5.46,92,94,5.23,RU,1612823291
Castro,-24.7911,-50.0119,64.76,81,10,2.71,BR,1612823292
Barrow,71.2906,-156.7887,-29.2,84,1,11.5,US,1612823048
Yulara,-25.2406,130.9889,86.0,23,90,17.27,AU,1612823295
Saint-Philippe,-21.3585,55.7679,77.0,73,0,3.44,RE,1612823296
Alice Springs,-23.7,133.8833,86.0,30,99,6.91,AU,1612823298
Ambilobe,-13.2,49.05,75.43,92,100,1.59,MG,1612823299
Tuktoyaktuk,69.4541,-133.0374,-41.8,74,1,3.44,CA,1612823300
East London,-33.0153,27.9116,68.97,77,26,5.41,ZA,1612823303
Dikson,73.5069,80.5464,-31.36,85,79,13.96,RU,1612823304
Rørvik,64.8621,11.2373,24.71,92,3,10.11,NO,1612823305
Flinders,-34.5833,150.8552,69.01,82,97,1.01,AU,1612823306
Jamestown,42.097,-79.2353,21.99,63,90,8.05,US,1612823307
Champerico,14.3,-91.9167,87.8,62,40,13.8,GT,1612823309
Boende,-0.2167,20.8667,73.98,52,78,1.21,CD,1612823311
Mossamedes,-15.1961,12.1522,72.3,77,98,6.44,AO,1612823314
Goedereede,51.8175,3.9806,25.0,86,100,1.99,NL,1612823316
Hasaki,35.7333,140.8333,32.0,43,20,9.22,JP,1612823317
Cayenne,4.9333,-52.3333,80.6,74,75,9.22,GF,1612823318
Manggar,-2.8833,108.2667,79.84,82,100,9.6,ID,1612823320
Adrar,20.5022,-10.0711,62.47,28,13,9.33,MR,1612823321
Gongzhuling,43.5008,124.8198,7.02,89,0,9.95,CN,1612823322
Lebanon,36.2081,-86.2911,48.2,66,1,4.61,US,1612823324
Kamenka,51.3223,42.7678,-7.19,85,15,3.98,RU,1612823325
Sola,-13.8833,167.55,82.4,83,20,4.97,VU,1612823326
Port Hardy,50.6996,-127.4199,37.4,48,20,13.8,CA,1612823328
São Félix do Xingu,-6.6447,-51.995,74.88,93,100,1.99,BR,1612823329
Chui,-33.6971,-53.4616,66.45,87,90,4.16,UY,1612823331
Coolum Beach,-26.5333,153.1,73.99,87,36,1.01,AU,1612823332
Čajniče,43.5575,19.0711,39.2,60,0,2.3,BA,1612823334
Saskylakh,71.9167,114.0833,-30.71,84,17,2.98,RU,1612823335
Asău,46.4333,26.4,34.0,75,100,5.55,RO,1612823336
Lebu,-37.6167,-73.65,63.66,82,48,9.15,CL,1612823338
Faanui,-16.4833,-151.75,81.39,77,5,13.8,PF,1612823339
Kirakira,-10.4544,161.9205,83.71,73,98,8.9,SB,1612823340
Kupang,-10.1667,123.5833,77.0,100,75,2.3,ID,1612823055
Mt. Pleasant,32.7941,-79.8626,57.99,87,75,12.19,US,1612823342
Baykit,61.67,96.37,15.89,93,100,11.21,RU,1612823343
Chernyshevskiy,63.0128,112.4714,-11.29,91,100,3.06,RU,1612823345
Saint George,37.1041,-113.5841,64.99,14,1,2.82,US,1612823087
San Juan Bautista,-14.0108,-75.7358,77.0,69,0,19.57,PE,1612823347
Kūhdasht,33.535,47.6061,46.94,57,0,2.3,IR,1612823349
Port Keats,-14.25,129.55,77.13,86,100,6.31,AU,1612823350
Havøysund,70.9963,24.6622,21.2,86,75,16.11,NO,1612823352
Mishelevka,52.8575,103.1719,14.31,93,76,9.22,RU,1612823353
Salinas,36.6777,-121.6555,57.0,71,1,11.5,US,1612823354
Urucará,-2.5364,-57.76,80.1,85,98,2.98,BR,1612823355
Campamento,14.55,-86.65,82.69,39,4,6.82,HN,1612823356
Atasū,48.6814,71.6433,-5.15,91,88,17.22,KZ,1612823357
Vestmannaeyjar,63.4427,-20.2734,35.6,81,61,13.29,IS,1612823359
Teya,60.3778,92.6267,23.76,95,100,5.84,RU,1612823360
Ponta do Sol,32.6667,-17.1,59.0,73,23,4.0,PT,1612823361
Dunedin,-45.8742,170.5036,64.0,77,100,4.85,NZ,1612823362
Rawson,-43.3002,-65.1023,69.76,41,0,23.96,AR,1612823363
Ostrovnoy,68.0531,39.5131,2.61,88,94,18.66,RU,1612823364
Zomin,39.9606,68.3958,45.86,82,98,6.51,UZ,1612823366
Lakes Entrance,-37.8811,147.981,66.0,70,3,1.01,AU,1612823368
Te Anau,-45.4167,167.7167,57.06,92,100,5.17,NZ,1612823369
Itaqui,-29.1253,-56.5531,82.87,46,0,5.86,BR,1612823370
Mezhdurechenskiy,59.6,65.9333,-10.8,89,100,6.53,RU,1612823371
Pontianak,-0.0333,109.3333,75.2,94,40,4.45,ID,1612823373
Port Blair,11.6667,92.75,74.8,76,77,13.18,IN,1612823374
Katobu,-4.9408,122.5276,76.46,91,100,2.66,ID,1612823375
Fraserburgh,57.6874,-2.0184,32.0,72,97,16.96,GB,1612823376
Vila Franca do Campo,37.7167,-25.4333,59.0,94,75,16.11,PT,1612823377
Temirtau,50.0544,72.9483,-4.0,77,75,22.37,KZ,1612823379
Longjiang,47.3303,123.1836,5.27,87,48,4.25,CN,1612823380
Broome,42.2506,-75.833,21.99,35,1,4.61,US,1612823218
Siguiri,11.6667,-9.5,78.57,21,0,2.42,GN,1612823382
Gualaquiza,-3.4,-78.55,74.79,80,100,1.95,EC,1612823383
Muros,42.7762,-9.0603,51.01,90,100,8.99,ES,1612823384
Ilulissat,69.2167,-51.1,24.8,36,0,24.16,GL,1612823387
Lexington Park,38.2668,-76.4538,34.0,51,75,9.22,US,1612823388
Poconé,-16.2567,-56.6228,86.29,38,9,2.04,BR,1612823389
Korem,12.5058,39.5228,45.77,97,96,6.38,ET,1612823390
Salé,34.0389,-6.8166,57.99,94,75,6.91,MA,1612823175
Cabedelo,-6.9811,-34.8339,80.6,78,20,10.36,BR,1612823394
Novy Urengoy,66.0833,76.6333,-8.36,91,97,7.43,RU,1612823395
North Bend,43.4065,-124.2243,50.0,61,1,8.05,US,1612823396
Bathsheba,13.2167,-59.5167,80.6,57,40,16.11,BB,1612823398
Mareeba,-17.0,145.4333,78.8,94,89,1.97,AU,1612823399
Bayangol,50.6977,103.4656,0.77,88,18,2.98,RU,1612823401
Palana,59.1167,159.9667,13.86,91,39,9.24,RU,1612823402
Gushikawa,26.3544,127.8686,57.2,72,20,10.36,JP,1612823403
Antofagasta,-23.65,-70.4,68.0,77,20,16.11,CL,1612823395
Bubaque,11.2833,-15.8333,77.27,62,0,13.13,GW,1612823407
Gouré,13.9835,10.2704,67.69,20,24,11.27,NE,1612823408
Iquique,-20.2208,-70.1431,73.4,60,0,19.57,CL,1612823348
Sitka,57.0531,-135.33,24.8,54,90,10.36,US,1612823411
Meadow Lake,34.8014,-106.5436,68.0,5,75,13.8,US,1612823412
Isangel,-19.55,169.2667,82.4,78,20,6.62,VU,1612823413
Xudat,41.631,48.681,43.88,91,98,11.01,AZ,1612823414
Beringovskiy,63.05,179.3167,0.84,93,100,6.87,RU,1612823416
Dieburg,49.8989,8.8444,24.01,90,98,5.86,DE,1612823303
Beaverlodge,55.2166,-119.4361,-20.2,57,20,9.22,CA,1612823418
Balkhash,46.844,74.9804,12.69,90,100,15.48,KZ,1612823420
Kingston,17.997,-76.7936,82.4,74,20,26.46,JM,1612823178
Kyrksæterøra,63.2906,9.0891,21.2,86,20,9.22,NO,1612823423
Batagay-Alyta,67.8006,130.4114,-24.03,75,0,2.82,RU,1612823424
Sayyan,15.1718,44.3244,46.13,83,100,5.3,YE,1612823425
Saldanha,-33.0117,17.9442,66.2,82,0,14.97,ZA,1612823426
Gobindpur,22.6333,86.0667,54.55,40,0,1.77,IN,1612823429
George Town,5.4112,100.3354,80.01,83,40,2.3,MY,1612823194
Marystown,47.1666,-55.1483,30.18,97,100,27.16,CA,1612823431
Vardø,70.3705,31.1107,23.0,86,75,13.8,NO,1612823432
Sabha,27.0377,14.4283,55.38,36,100,5.39,LY,1612823434
Barão de Melgaço,-16.1944,-55.9675,89.6,37,0,6.91,BR,1612823435
Ahvāz,31.3203,48.6693,59.0,82,0,4.61,IR,1612823436
Suntar,62.1444,117.6319,-10.25,90,83,4.52,RU,1612823437
Nālūt,30.3333,10.85,52.59,41,0,8.61,LY,1612823439
Hay River,60.8156,-115.7999,-25.6,68,100,20.71,CA,1612823348
Port Elizabeth,-33.918,25.5701,68.0,83,0,3.44,ZA,1612823441
Kuala Kangsar,4.7667,100.9333,77.0,88,20,3.44,MY,1612823442
La Playa,18.2875,-67.1869,78.01,88,67,1.01,PR,1612823445
Castelnaudary,43.3183,1.9545,48.99,87,75,9.22,FR,1612823446
Berezovyy,51.6667,135.7,-3.19,84,94,3.76,RU,1612823447
George Town,5.4112,100.3354,80.01,83,40,2.3,MY,1612823194
Pisco,-13.7,-76.2167,77.0,69,0,19.57,PE,1612823450
Zyryanka,65.75,150.85,-23.01,86,98,5.1,RU,1612823451
Waingapu,-9.6567,120.2641,79.03,79,100,6.91,ID,1612823452
Payo,-3.7508,103.6372,71.37,93,100,2.1,ID,1612823454
Roebourne,-20.7833,117.1333,79.48,70,6,13.31,AU,1612823455
Lufilufi,-13.8745,-171.5986,87.8,84,75,20.71,WS,1612823456
Pemangkat,1.1667,108.9667,76.12,92,100,6.98,ID,1612823457
Saint-Pierre,-21.3393,55.4781,77.0,73,0,3.44,RE,1612823459
Avera,33.194,-82.5271,60.8,63,90,6.91,US,1612823460
Kholtoson,50.2981,103.3097,6.28,86,11,3.83,RU,1612823461
Encruzilhada do Sul,-30.5439,-52.5219,65.08,90,40,8.12,BR,1612823423
Preobrazheniye,42.9019,133.9064,6.1,85,2,12.55,RU,1612823464
Tazovsky,67.4667,78.7,-13.38,89,76,6.08,RU,1612823465
Kindu,-2.95,25.95,71.02,66,100,2.42,CD,1612823466
Acarí,-15.4311,-74.6158,75.06,69,99,6.17,PE,1612823467
Provideniya,64.3833,-173.3,6.8,78,90,20.13,RU,1612823469
Bo`ka,40.8108,69.1986,48.2,93,78,5.75,UZ,1612823470
Aklavik,68.2191,-135.0107,-34.6,67,100,2.3,CA,1612823471
Ponta Delgada,37.7333,-25.6667,59.0,94,75,16.11,PT,1612823472
Huilong,31.8111,121.655,42.01,74,78,1.01,CN,1612823473
Kota,25.1833,75.8333,61.79,32,0,2.06,IN,1612823261
Glenwood Springs,39.5505,-107.3248,50.0,36,1,18.41,US,1612823477
Nicoya,10.1483,-85.452,89.6,43,0,17.27,CR,1612823478
Dongli,23.5656,116.8194,60.8,67,0,8.95,CN,1612823479
Pontes e Lacerda,-15.2261,-59.3353,75.02,61,80,2.39,BR,1612823480
Zhangye,38.9342,100.4517,30.94,64,0,3.29,CN,1612823482
Rocha,-34.4833,-54.3333,64.85,90,95,10.49,UY,1612823423
Ouargaye,11.5033,0.0572,80.28,15,2,10.13,BF,1612823484
Malé,4.1748,73.5089,82.4,74,20,17.27,MV,1612823445
Morristown,36.214,-83.2949,51.01,46,1,3.44,US,1612823290
Yar-Sale,66.8333,70.8333,-16.55,89,30,7.2,RU,1612823488
Mackay,-21.15,149.2,80.6,89,90,14.97,AU,1612823420
Saint Paul Harbor,57.79,-152.4072,33.8,64,1,16.11,US,1612823490
Nachingwea,-10.3833,38.7667,71.74,96,100,5.73,TZ,1612823491
Coari,-4.085,-63.1414,80.06,83,93,1.59,BR,1612823492
Chenghai,23.4632,116.768,60.8,67,0,8.95,CN,1612823494
Kathu,7.9178,98.3332,84.0,94,20,2.3,TH,1612823495
Kungurtug,50.5994,97.5228,10.4,84,91,4.56,RU,1612823496
Marzuq,14.4,46.4667,60.04,74,81,9.64,YE,1612823497
Toguchin,55.2353,84.3858,8.37,92,100,19.26,RU,1612823500
Punta Alta,-38.8759,-62.0736,65.32,67,0,21.14,AR,1612823501
Jumla,29.2747,82.1838,39.49,53,0,5.32,NP,1612823502
Krasnyy Chikoy,50.3643,108.7512,1.9,89,37,2.68,RU,1612823504
Jiayuguan City,39.8167,98.3,31.24,68,59,5.35,CN,1612823505
Provost,52.3501,-110.2683,-16.6,58,0,19.57,CA,1612823507
Richards Bay,-28.783,32.0377,74.89,91,85,5.28,ZA,1612823508
Boyolangu,-8.1181,111.8935,74.46,89,99,6.35,ID,1612823510
Siparia,10.1333,-61.5,80.01,79,6,12.33,TT,1612823511
Makkah al Mukarramah,21.4267,39.8261,72.82,35,0,3.53,SA,1612823512
Rio Verde de Mato Grosso,-18.9181,-54.8442,76.17,57,8,7.14,BR,1612823514
Benjamín Hill,30.1667,-111.1,71.1,21,0,7.2,MX,1612823515
Westport,41.1415,-73.3579,27.0,60,25,3.87,US,1612823516
Nichinan,31.6,131.3667,33.8,60,20,10.36,JP,1612823517
Aldama,22.9167,-98.0667,82.99,83,11,3.0,MX,1612823519
Port Hedland,-20.3167,118.5667,75.2,83,0,9.22,AU,1612823520
‘Āhuimanu,21.4447,-157.8378,80.6,44,1,19.57,US,1612823521
Berlevåg,70.8578,29.0864,24.8,58,40,17.27,NO,1612823522
Mahébourg,-20.4081,57.7,78.8,83,40,4.61,MU,1612823523
Ambanja,-13.6833,48.45,75.88,88,100,3.44,MG,1612823525
Torbay,47.6666,-52.7314,33.01,100,90,26.46,CA,1612823526
Bambous Virieux,-20.3428,57.7575,78.8,83,40,4.61,MU,1612823527
Saint-Augustin,51.226,-58.6502,35.02,94,100,15.03,CA,1612823528
Bo Phloi,14.3236,99.5161,71.98,80,61,2.13,TH,1612823529
Havelock,34.8791,-76.9013,48.0,61,75,10.36,US,1612823530
Norman Wells,65.282,-126.8329,-27.4,75,1,6.91,CA,1612823532
Cabañas,22.9758,-82.9219,84.2,58,40,9.22,CU,1612823533
Cabo San Lucas,22.8909,-109.9124,75.0,56,1,4.61,MX,1612823355
Touros,-5.1989,-35.4608,82.4,74,0,11.5,BR,1612823535
Kisangani,0.5167,25.2,70.63,54,95,1.5,CD,1612823538
Elko,41.0002,-115.5012,53.6,11,1,18.41,US,1612823540
Kavieng,-2.5744,150.7967,84.51,73,89,7.9,PG,1612823541
Trāl,33.9333,75.1,32.18,84,15,2.26,IN,1612823543
Kaitangata,-46.2817,169.8464,63.0,89,100,11.01,NZ,1612823544
Petrovsk,52.3064,45.3917,-12.28,87,0,4.34,RU,1612823545
Jiuquan,39.7432,98.5174,30.2,71,56,4.83,CN,1612823546
Mount Isa,-20.7333,139.5,77.0,94,100,4.61,AU,1612823410
Kumul,42.8,93.45,29.41,80,39,2.82,CN,1612823549
Lugovoy,42.9472,72.7644,30.0,97,99,4.76,KZ,1612823550
Mugur-Aksy,50.35,90.5,12.11,88,100,10.11,RU,1612823551
Paamiut,61.994,-49.6678,29.89,85,82,9.69,GL,1612823552
Rapid Valley,44.0625,-103.1463,5.0,71,1,3.44,US,1612823553
Luebo,-5.35,21.4167,73.26,82,99,1.1,CD,1612823555
Sinnamary,5.3833,-52.95,77.74,79,44,14.45,GF,1612823556
Rødbyhavn,54.6544,11.352,28.99,76,100,14.0,DK,1612823557
Bilma,18.6853,12.9164,65.75,22,80,5.97,NE,1612823558
Chokurdakh,70.6333,147.9167,-12.19,85,0,10.65,RU,1612823559
Kulim,5.365,100.5618,80.01,83,40,2.3,MY,1612823560
Troitsko-Pechorsk,62.7084,56.1964,-13.72,88,100,7.94,RU,1612823562
Saint Anthony,45.0205,-93.218,1.4,50,1,8.05,US,1612823563
Codrington,-38.2667,141.9667,60.48,68,9,12.53,AU,1612823564
Hobyo,5.3505,48.5268,76.87,75,79,21.12,SO,1612823565
Iqaluit,63.7506,-68.5145,21.2,86,75,4.5,CA,1612823412
Kambarka,56.2694,54.2062,-15.68,86,96,9.82,RU,1612823568
Kahului,20.8947,-156.47,78.8,57,40,23.02,US,1612823569
Lüderitz,-26.6481,15.1594,71.15,54,0,20.67,NA,1612823570
Plettenberg Bay,-34.0527,23.3716,65.5,78,0,3.65,ZA,1612823571
Inhambane,-23.865,35.3833,77.23,84,3,10.49,MZ,1612823574
Havre-St-Pierre,50.2334,-63.5986,23.0,74,90,13.8,CA,1612823575
Namatanai,-3.6667,152.4333,84.11,74,82,6.02,PG,1612823576
Miandrivazo,-19.5167,45.4667,75.34,89,100,2.89,MG,1612823577
Lakatoro,-16.0999,167.4164,83.37,59,2,4.41,VU,1612823578
Keflavik,64.0049,-22.5624,33.8,80,0,9.22,IS,1612823580
Puerto Carreño,6.189,-67.4859,89.08,46,94,14.43,CO,1612823581
Ankazobe,-18.3167,47.1167,66.2,88,75,1.86,MG,1612823582
Dauriya,49.9333,116.8667,0.55,92,0,4.99,RU,1612823583
Antalaha,-14.9003,50.2788,76.12,87,71,3.62,MG,1612823584
Oriximiná,-1.7656,-55.8661,82.22,66,69,2.53,BR,1612823586
Antsohihy,-14.8796,47.9875,74.89,94,100,2.68,MG,1612823587
Oddur,4.1213,43.8894,70.48,71,63,16.64,SO,1612823588
Griffin,33.2468,-84.2641,55.4,50,1,4.99,US,1612823589
Fairbanks,64.8378,-147.7164,-7.01,77,1,11.5,US,1612823445
Katsuura,35.1333,140.3,35.01,29,21,1.01,JP,1612823592
Junction City,39.0286,-96.8314,10.0,78,90,10.36,US,1612823517
Moindou,-21.6924,165.677,82.4,65,0,6.91,NC,1612823594
Los Llanos de Aridane,28.6585,-17.9182,66.2,59,90,4.61,ES,1612823598
Khovd,48.0056,91.6419,12.54,88,46,1.3,MN,1612823599
Binka,21.0333,83.8,53.94,41,4,0.27,IN,1612823600
Plouzané,48.3833,-4.6167,33.8,93,40,2.3,FR,1612823601
Mayo,38.8876,-76.5119,33.01,55,1,9.22,US,1612823602
Verkhoyansk,67.5447,133.385,-30.53,79,27,4.45,RU,1612823604
Ikovka,55.6089,64.9375,-10.34,87,100,11.97,RU,1612823605
Nampula,-15.1165,39.2666,75.2,94,75,3.44,MZ,1612823606
Burnie,-41.0667,145.9167,60.01,52,5,11.65,AU,1612823607
Sharjah city,25.3573,55.4033,69.8,83,40,3.44,AE,1612823608
Stornoway,58.2093,-6.3865,33.8,60,17,10.36,GB,1612823611
Dubbo,-32.25,148.6167,69.8,68,40,18.41,AU,1612823547
Sorong,-0.8833,131.25,80.76,80,100,1.43,ID,1612823613
Udachny,66.4167,112.4,-27.54,81,28,4.25,RU,1612823614
Sawtell,-30.3833,153.1,69.01,88,75,11.5,AU,1612823615
Catabola,-12.15,17.2833,63.95,85,100,8.14,AO,1612823617
Cockburn Town,21.4612,-71.1419,78.8,73,75,13.8,TC,1612823618
Hofn,64.2539,-15.2082,32.68,89,100,16.69,IS,1612823619
Ust-Tsilma,65.441,52.1498,-8.97,89,100,8.66,RU,1612823620
Olinda,-8.0089,-34.8553,80.6,65,40,8.05,BR,1612823621
Isla Mujeres,21.2311,-86.731,82.4,69,40,10.36,MX,1612823622
Tarko-Sale,64.9225,77.785,-12.12,91,82,3.98,RU,1612823624
Shumyachi,53.8583,32.4242,8.74,89,100,12.3,RU,1612823625
Lev Tolstoy,53.2134,39.446,-4.22,88,19,4.25,RU,1612823530
Muzhi,65.3667,64.6667,-23.8,87,100,8.99,RU,1612823627
Zhoucheng,35.9122,116.3117,32.02,88,0,8.23,CN,1612823628
Tuatapere,-46.1333,167.6833,54.21,93,100,10.27,NZ,1612823629
Bairiki Village,1.3292,172.9752,82.4,89,20,10.36,KI,1612823631
